# fleet-memory-observations v1 -- kernel-measured, read-only, regenerate with scripts/fleet-memory-observe.sh
# captured_unix	1788306799
# captured_utc	2026-09-01T23:53:19Z
# chain_height	34104
# chain_slot	55000
# chain_finalized_height	34016
# blocks_known	34329
# fork_overhang_blocks	225
# chain_epoch	1716
# slot_secs	30
# genesis_unix	1786656716
# anchor_error_secs	0
# blocks_per_day_measured	2827.2
# blocks_per_slot_measured	0.9817
# slots_per_day	2880
# blocks_per_day_window	slot 49382..55000 height 28589..34104
# rpc_source	139.84.205.54:16403
# validator_rows	63
#
box_ip	box_host	mem_total_mib	mem_avail_mib	cached_mib	nproc	unit	pid	vmhwm_mib	vmrss_mib	started_unix	mark_age_s	boot_height	lens_argv	lens_pgrep	lens_units	lens_datadirs
139.84.201.52	host652460	31866	19492	8148	12	bloch-n07	178521	1443.4	1443.4	1788141882	164917	28703	9	9	9	9
139.84.201.52	host652460	31866	19492	8148	12	bloch-n00	178713	1517.0	1517.0	1788141907	164892	28704	9	9	9	9
139.84.201.52	host652460	31866	19492	8148	12	bloch-n14	183229	1266.0	1266.0	1788148576	158223	28910	9	9	9	9
139.84.201.52	host652460	31866	19492	8148	12	bloch-n21	183328	1240.7	1240.7	1788148582	158217	28910	9	9	9	9
139.84.201.52	host652460	31866	19492	8148	12	bloch-n35	187082	1200.6	1157.1	1788152464	154335	29030	9	9	9	9
139.84.201.52	host652460	31866	19492	8148	12	bloch-n28	187182	1203.4	1160.9	1788152469	154330	29030	9	9	9	9
139.84.201.52	host652460	31866	19492	8148	12	bloch-n42	190309	1267.9	1196.2	1788158245	148554	29201	9	9	9	9
139.84.201.52	host652460	31866	19492	8148	12	bloch-n49	196355	1372.8	1274.3	1788167813	138986	29497	9	9	9	9
139.84.201.52	host652460	31866	19492	8148	12	bloch-n56	198160	1167.4	1118.4	1788180089	126710	29895	9	9	9	9
139.84.202.139	host652458	31866	20048	6429	12	bloch-n08	209677	1182.6	1182.6	1788141895	164904	28703	9	9	9	9
139.84.202.139	host652458	31866	20048	6429	12	bloch-n22	212325	1162.9	1141.0	1788145766	161033	28823	9	9	9	9
139.84.202.139	host652458	31866	20048	6429	12	bloch-n01	214251	1181.9	1153.4	1788148605	158194	28911	9	9	9	9
